id,source,url,date,actor,event_type,loop_pathology,rounds_stated,reason_given,docs_submitted,appeal_mentioned,hold_days_stated,resolution,amount_inr,quote,notes
R001,g2,https://www.g2.com/products/razorpay/reviews,2026-08-19,merchant,no_risk_event,n/a,,n/a,n/a,unclear,,n/a,,I experience occasional payment failures and feel the support response could be improved,positive stratum; SMB software dev; switched from Cashfree
R002,g2,https://www.g2.com/products/razorpay/reviews,2026-05-03,merchant,no_risk_event,n/a,,n/a,n/a,unclear,,n/a,,In 16 months of usage settlements have never been delayed,COUNTER-EVIDENCE on settlements; praises subscription retry/dunning reducing involuntary churn; onboarding docs unclear
R003,g2,https://www.g2.com/products/razorpay/reviews,,merchant,no_risk_event,n/a,,n/a,n/a,unclear,,n/a,,Running at 93-94% consistently over 10 months,vol 3L/month; dashboard clutter complaint
R004,g2,https://www.g2.com/products/razorpay/reviews,2026-07-30,merchant,no_risk_event,n/a,,n/a,n/a,unclear,,n/a,,Settlements are reliable and the reporting is genuinely useful,COUNTER-EVIDENCE on settlements; support slow at peak periods
R005,g2,https://www.g2.com/products/razorpay/reviews,2026-04-23,merchant,no_risk_event,n/a,,n/a,n/a,unclear,,n/a,,strict and elaborate KYC process that may end up blocking the merchant's account instantly if there are any small discrepancies in the documents,SECONDHAND: describes KYC auto-block and 7-14 day new-account settlement hold as widely reported; NOT personally experienced; 5-star reviewer
R006,g2,https://www.g2.com/products/razorpay/reviews,2026-05-07,merchant,no_risk_event,n/a,,n/a,n/a,unclear,,n/a,,The processes are a little long and they take time based on my experience,vague; mid-market web dev
R007,g2,https://www.g2.com/products/razorpay/reviews,,merchant,no_risk_event,n/a,,n/a,n/a,unclear,,n/a,,sometimes additional investigation is needed to understand the failure reasons and identify the root cause,explainability gap on payment failures; also notes QR cannot be tested in sandbox - must test in production
R008,g2,https://www.g2.com/products/razorpay/reviews,2026-05-03,merchant,no_risk_event,n/a,,n/a,n/a,unclear,,n/a,,Support chat could be faster sometimes takes a day to get proper response,minor complaint only
R009,g2,https://www.g2.com/products/razorpay/reviews,2026-05-21,merchant,no_risk_event,n/a,,n/a,n/a,unclear,,n/a,,93%+ success rate for me means more money reaching bank account every month. Settlement is always on time,COUNTER-EVIDENCE on settlements; enterprise
R010,g2,https://www.g2.com/products/razorpay/reviews,2026-08-21,merchant,no_risk_event,n/a,,n/a,n/a,unclear,,n/a,,We were able to test webhooks and SDKs in the sandbox environment immediately without waiting for sales approval,CONFIRMS sandbox access without approval - validates our integration plan
R011,g2,https://www.g2.com/products/razorpay/reviews,2026-08-20,merchant,no_risk_event,n/a,,n/a,n/a,unclear,,n/a,,Nothing,dislike section literally blank; switched from Cashfree
